Wilson, Shona	Pathology	Parasite Immunology	Hepatosplenomegaly associated with chronic malaria exposure: evidence for a PRO-inflammatory mechanism exacerbated by schistosomiasis	
Professor Paul Lehner	Medicine	Molecular & Cellular Proteomics	Stable isotope labeling by amino acids in cell culture and differential plasma membrane proteome quantitation identify new substrates for the MARCH9 transmembrane E3 ligase	£1,722.22
Professor  Chris Huang	Physiology, Development and Neuroscience	Journal of Molecular and Cellular Cardiology	Activation of purigenic receptors by ATP induces ventricular tachycardia by membrane depolarization and modifications of Ca2+ homeostasis	£1,972.06
Stevenson, Phil	Pathology	Journal of General Virology	Antibody limits in vivo murid herpesvirus-4 replication by IgG Fc receptor dependent functions	£1,500.00
Professor Mark Field	Pathology	PLoS One	Rab functions in trypanosomes	
Dr Paul Digard	Pathology	Virology	Nuclear dynamics of influenza A virus ribonucleoproteins revealed by live-cell imaging studies	£1,962.49
Professor Christine Holt	Physiology, Development and Neuroscience	Neuron	Extracellular engrailed participates in the topographic guidance of retinal axons in vivo	
Professor Chris Huang	Physiology, Development and Neuroscience	Acta Physiologica	Scn3b knockout mice exhibit abnormal sino-atrial and cardiac conduction properties	
Dr James Kirkbride	Psychiatry	Health and Place	Examining evidence for neighbourhood variation in the duration of untreated psychosis	£2,205.14
Dr James Kirkbride	Psychiatry	International Journal of Epidemiology	Is the incidence of psychotic disorder in decline?  Epidemiological evidence from two decades of research	£1,500.00
Dr Brian Billups	Pharmacology	Neuroscience	Functional expression of two System A glutamine transporter isoforms in rat auditory brainstem neurons	£2,098.71
Professor Ian Goodyer	Psychiatry	Biological Psychiatry	Decision making and executive function in male adolescents with early-onst or adolescence-onst Conductive Disorder and controls.	£2,389.42
Dr Geoff Woods	Medical Genetics	Trends in Genetics	Primary microcephaly: do all roads lead to Rome?	£2,150.08
Professor Azim Surani	Gurdon Institute	Epigenetics and Chromatin	ERG-associated protein with SET domain (ESET)-Oct4 interaction regulates pluripotency and represses the trophectoderm lineage	£1,284.26
Professor Azim Surani	Gurdon Institute	Epigenetics and Chromatin	Essential role for Argonaute2 protein in mouse oogenesis	£1,210.95
Professor Robin Irvine	Pharmacology	Journal of Comparative Neurology	Distribution and neuronal expression of phosphatidylinositol phosphate kinase Iigamma in the mouse brain	£2,050.89
Dr Lora Heisler	Pharmacology	Behavioural Brain Research	Nutritional state influences Nociceptin/Orphanin FQ peptide receptor expression in the dorsal raphe nucleus	£2,048.45
Dr Stephen Eglen	DAMTP	PloS Computational Biology	A Multi-Component Model of the Developing Retinocollicular Pathway Incorporating Axonal and Synaptic Growth	£582.80
Professor Robin Irvine	Pharmacology	Advances in Enzyme Regulation	Phosphatidylinositol 5-phosphate 4-kinases localization, regulation and function of Type II phosphatidylinositol 5-phosphate 4-kinases	£2,116.18
Professor Chris Huang	Physiology, Development and Neuroscience	Acta Physiologica	Acute atrial arrhythmogenesis in murine hearts following enhanced extracellular Ca entry depends on intracellular Ca stores.	
N/A	N/A	N/A	To pay for extra charges not originally claimed under PL 610699	£314.80
Dr Francis Jiggins	Genetics	BMC Genetics	Evidence of ADAR-induced hypermutation of the Drosphila sigma virus (Rhabdoviridae)	£1,236.25
Professor Alfonso Martinez-Arias	Genetics	BMC Structural Biology	The structural and functional determinants of the Axin and Dishevelled DIX domains	£1,213.97
Dr Ian Howard	Engineering	Journal of Neurophysiology	Statistics of natural movements and reflected in motor errors	£1,185.40
Dr Clive Petry	Paediatrics	Human GeneticsA	Common Polymorphic variation in the genetically diverse African insulin gene and it association with size at birth.	£2,105.26
Dr Ben Luisi	Biochemistry	Structure	Through ancient rings thread programming strings	£3,414.08
Dr Zoltan Cseresnyes 	Zoology	BioMedCentral Cell Biology	Analysis of replication factories in human cells by super-resolution light microscopy	£1,001.94
Dr Akhilesh Reddy	Institute of Metabolic Science	Trends in Cell Biology	Healthy clocks, healthy body, healthy mind	£2,131.12
Dr Evan Reid	Medical Genetics	Human Molecular Genetics	The hereditary spastic paraplegia proteins NIPA1, spastin and spartin are inhibitors of mammalian BMP signalling	£900.00
Dr Jane Clark	Chemistry	Journal of Biological Chemistry	Naturally occuring mutations alter the stability of Polycystin-1 Polycystic kidney disease (PKD) domains	£1,223.40
Professor Mark Field	Pathology	Public Library of Science 	Chaperone Requirements for Biosynthesis of the Trypanosome Variant Surface Glycoprotein	£817.44
Professor Chris Rudd	Pathology	Immunology Letters	SKAP1 is dispensable for chemokine-induced migration of primary T-cells	£2,097.80
Dr Robert Semple	Clinical Biochemistry	Journal of Neuroendocrinology	A study of the effects of neurokinin B (NKB) upon gonadotrophin release in male rodents	£1,878.96
Professor Colin Taylor	Pharmacology	Biochemistry	Ca2+ channels on the move	£1,180.15
Dr Lora Heisler	Pharmacology	Endocrinology	Transgenic mice expressing green fluorescent protein under the control of the corticotropin-releasing hormone promoter	£1,771.27
Professor Anne Cooke, Professor David Duune	Pathology	Journal of Biomedicine and Biotechnology	Immune modulation by Schistosoma mansoni antigens in NOD mice: effects on both innate and adaptive immune systems	£650.00
Professor Mark Carrington	Biochemistry	Journal of Cell Science	The RNA helicase DHH1 is central to the correct expression of many developmentally regulated mRNAs in trypanosomes.	£1,552.50
Dr Fiona Watt	Genetics	Cell Stem Cell	Lrig1 expression defines a distinct multipotent stem cell population in mammalian epidermis.	£3,953.70
Dr Daniel Braun	Engineering	Behavioural Brain Research	Structure learning in action	£2,381.40
Professor Daniel Wolpert, Dr Alaa Ahmed	Engineering	Journal of Neurophysiology	Transfer of dynamic learning across postures	£1,295.65
