RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ	DATE REQUEST	DATE INVOICE REC.	Paid
Dr Angela Pinot de Moira	Pathology	PLoS	PLoS Neglected Tropical Diseases	Analysis of complex patterns of human exposure and immunity to Schistosomiasis mansoni: the influence of age, sex, ethnicity and IgE	PK 655112	£1,385.55	22-Oct-10	03-Sep-10	y
Dr J D Ingram (Prof Daniel Wolpert PI)	Engineering	Elsevier	Current Biology	Multiple grasp-specific representations of tool dynamics	NA 655079	£3,105.78	22-Oct-10	15-Oct-10	y
Professor Chris Smith	Biochemistry	BioMed Cental	BMC Genomics	Expression proteomics of UPF1 knockdown in HeLa cells reveals autoregulation of hnRNP A2/B1 mediated by alternative splicing resulting in nonsense-mediated mRNA decay	PH 654676	£1,067.41	22/10/101	12-Oct-10	y
Professor Mark Field	Pathology	PLoS	PLoS One?	Regulation of Thromboxane Receptor Signaling at Multiple Levels by Oxidative Stress-Induced Stabilization, Relocation and Enhanced Responsiveness	PK 657330	£831.33	13-Oct-10	04-Nov-10	y
Dr John McCafferty	Biochemistry	Oxford University Press	Protein Engineering, Design and Selection	Generating a panel of highly specific antibodies to 20 human SH2 domains by phage display	PH 652116	£1,498.13	24-Sep-10	23-Sep-10	y
Professor David Rubinsztein	Medical Genetics	Landes Bioscience	Autophagy	Plasma membrane helps autophagosomes grow	SE 655254	£482.08	11-Oct-10	22-Oct-10	y
Dr David Rhodes	CIMR Pathology	National Academy of Sciences	Proceedings of the National Academy of Sciences of the United States of America	Ubiquitination of lysine-331 by KSHV protein K5 targets HFE for lysosomal degradation	SH 654540	£623.04	08-Oct-10	21-Oct-10	y
Dr Vanessa Heggie (Prof John Forrester grant holder)	History and Philosophy of Science	Elsevier	Endeavour	Testing sex and gender in sports; reinventing, reimagining and reconstructing histories	JN 655002	£2,263.48	30-Sep-10	19-Oct-10	y
Professor Nick Morrell	Medicine	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Identification of a lysosomal pathway regulating degradation of the bone morphogenetic protein receptor type II	RC 657879	£1,245.19	25-Oct-10	11-Nov-10	y
Professor Paul Fletcher	Psychiatry	Elsevier	Biological Psychiatry	Exploring the impact of the Ketamine on the experience of illusory body ownership	RN 664221	£2,239.52	27-Oct-10	10-Jan-11	y
Professor Martin Johnson	PDN	Elsevier	Reproductive Biomedicine online	Bob Edwards and the first decade of Reproductive Biomedicine Online	JN 682139	£1,926.02	08-Nov-10	01-Jun-11	y
Dr Tim Bussey	Experimental Psychology	Elsevier	Neurobiology of Learning and Memory	Trial-unique, delayed non-matching to location (TUNL): A novel, highly hippocampus-dependent automated touchscreen test of location memory and pattern separation	PJ 658503	£2,109.94	12-Nov-10	16-Nov-10	y
Professor Trevor Robbins	Experimental Psychology	Oxford University Press	Cerebral Cortex	Dissociating inhibition, attention and response control in the frontoparietal network using functional magnetic resonance imaging	PJ 658503	£1,997.50	12-Nov-10	16-Nov-10	y
Professor Trevor Robbins	Experimental Psychology	National Academy of Sciences	Proceedings of the National Academy of Sciences of the United States of America	Serotonin influences moral judgement and behaviour through effects on harm aversion	PJ 658503	£581.79	12-Nov-10	16-Nov-10	y
Dr David Savage	Clinical Biochemistry	Springer Verlag	Diabetologia	Analysis of TBC1D4 in patients with severe insulin resistance	RG 666924	£1,962.08	15-Nov-10	28-Jan-11	y
Dr Fernando Calero-Nieto	CIMR Pathology	Oxford Journals	Nucleic Acids Research	Transcriptional regulation of Elf-1: locus-wide analysis reveals four distinct promoters, a tissue-specific enhancer, control by PU.1 and the importance of Elf-1 downregulation for erythroid maturation	SH 658696	£834.25	17-Nov-10	17-Nov-10	y
