App no.	RECIPIENT	DEP	PUBLISHER	JOURNAL	TITLE	Invoice No.	AMOUNT REQ	DATE REQUEST	DATE INVOICE REC.	Paid
WT 13-14 001	Dr Kate Baker	Veterinary Medicine	Wiley-Blackwell	Journal of Animal Ecology	Viral antibody dynamics in a chiropteran host 	PN 800189	£2,230.07	08-Oct-13	04-Dec-13	y
WT 13-14 002	Dr Paul Wilkinson	Psychiatry	BioMed Central	BMC Psychiatry	Rumination, anxiety, depressive symptoms and subsequent depression in adolescents at risk for psychopathology: a longitudinal cohort study	RN 833665	£1,314.60	09-Oct-13	31-Jul-14	y
WT 13-14 003	Dr Stephen Burgess	Public Health and Primary Care	Wiley-Blackwell	Genetic Epidemiology	Mendelian randomization analysis with multiple genetic variants using summarized data	RH 794732	£2,230.07	09-Oct-13	24-Oct-13	y
WT 13-14 004	Dr Mate Lengyel	Engineering	Elsevier	Current Biology	Cognitive tomography reveals complex task-independent mental representations	NA 792670	£3,518.11	07-Oct-13	07-Oct-13	y
WT 13-14 005	Dr Sharon Morein-Zamir	Psychiatry	Public Library of Science	PLoS One	Investigation of attentional bias in obsessive compulsive disorder with and without depression in visual search	PJ 798218	£1,012.00	14-Oct-13	15-Nov-13	y
WT 13-14 006	Dr Tom Monie	Biochemistry	Public Library of Science	PLoS One	The N-terminal region of the human autophagy protein ATG16L1 contains a domain that folds into a helical structure consistent with formation of a coiled-coil	PH 794911	£968.96	21-Oct-13	24-Oct-13	y
WT 13-14 007	Dr Kim Jensen	Stem Cell Institute	Elsevier	Cell Stem Cell	The epidermis is comprised of autonomous compartments maintained by distinct stem cell populations	PS 798139	£4,365.45	22-Oct-13	15-Nov-13	y
WT 13-14 008	Dr Bertie Gottgens	Stem Cell Institute	Company of Biologists	Biology Open	Single site-specific integration targeting coupled with embryonic stem cell differentiation provides a high-throughput alternative to in vivo enhancer analyses	PS 798139	£1,044.00	22-Oct-13	15-Nov-13	y
WT 13-14 009	Dr Bertie Gottgens	CIMR Haematology	American Society for Microbiology	Molecular and Cellular Biology	Impaired In Vitro Erythropoiesis following Deletion of the Scl (Tal1) +40 Enhancer Is Largely Compensated for In Vivo despite a Significant Reduction in Expression	SB 794367	£1,577.60	22-Oct-13	22-Oct-13	y
WT 13-14 010	Professor Paul Lehner	CIMR	Public Library of Science	PLoS Pathogens	Haploid Genetic Screens Identify an Essential Role for PLP2 in the Downregulation of Novel Plasma Membrane Targets by Viral E3 Ubiquitin Ligases	SC 794324 and credit note SC 796038	£1,678.47	22-Oct-13	04-Nov-13	y
WT 13-14 011	Professor John Todd	CIMR	Wiley-Blackwell	Diabetes/Metabolism Research and Reviews	Genetic association analyses of atopic illness and proinflammatory cytokine genes with type 1 diabetes	SE 794340	£2,296.80	22-Oct-13	22-Oct-13	y
WT 13-14 013	Professor Austin Smith	Stem Cell Institute	Elsevier	Stem Cell Reports	Robust self-renewal of rat embryonic stem cells requires precise tuning of glycogen synthase kinase-3 inhibition	PS 798139	£2,237.98	22-Oct-13	15-Nov-13	y
WT 13-14 014	Dr Ben Luisi	Biochemistry	American Society for Biochemistry and Molecular Biology	Journal of Biological Chemistry	Potential regulatory interactions of Escherichia coli RraA protein with DEAD-box helicases	PH 795123	£1,482.30	24-Oct-13	15-Nov-13	y
WT 13-14 016	Professor Andrew Lever	Medicine	Society for General Microbiology	Journal of General Virology	Lipidome analysis of rotavirus-infected cells confirms the close interaction of lipid droplets with viroplasms	RC 797128	£2,100.00	24-Oct-13	07-Nov-13	y
WT 13-14 017	Professor Andrew Lever	Medicine	Public Library of Science	PLoS One	Experimental pathways towards developing a rotavirus reverse genetics system: synthetic full length rotavirus ssRNAs are neither infectious nor translated in permissive cells	RC 797128	£1,058.82	24-Oct-13	07-Nov-13	y
WT 13-14 018	Professor Andrew Lever	Medicine	Society for General Microbiology	Journal of General Virology	Inhibition of rotavirus replication by downregulation of fatty acid synthesis	RC 797128	£2,100.00	24-Oct-13	07-Nov-13	y
WT 13-14 019	Professor Mike Edwardson	Pharmacology	Society for Neurscience	Journal of Neuroscience	The sigma-1 receptor interacts directly with GluN1 but not GluN2A in the GluN1/GluN2A NMDA receptor	PL 795797 and PL 796067	£1,374.70	30-Oct-13	30-Oct-13	y
WT 13-14 020	Dr Lucy Davison	Veterinary Medicine	Public Library of Science	PLoS One	Breed-specific hematological phenotypes in the dog: a natural resource for the genetic dissection of hematological parameters in a mammalian species	PN 798459 and credit note PN 809637	£1,009.28	30-Oct-13	18-Nov-13	y
WT 13-14 021	Professor Sarah Lummis	Biochemistry	Wiley - VCH	ChemMedChem	Structure-activity relationships of quinoxaline-based 5HT3A and 5-HT3AB receptor-selective ligands	PH 797363	£2,124.92	31-Oct-13	12-Nov-13	y
WT 13-14 022	Dr Matthieu Palayret	Chemistry	Elsevier	Sensors and Actuators B: Chemical	A microfluidic device for the hydrodynamic immobilisation of living fission yeast cells for super-resolution imaging	MA 798523	£1,978.00	04-Nov-13	18-Nov-13	y
WT 13-14 023	Dr Chris Illingworth	Genetics	Royal Society	Interface	Assessing the effect of dynamics on the closed-loop protein folding hypothesis	PC 811875	£1,680.00	05-Nov-13	26-Feb-14	y
WT 13-14 024	Professor Sarah Lummis	Biochemistry	Elsevier	Bioorganic and Medicinal Chemistry	Exploring a potential palonosetron allosteric site in the 5-HT3 receptor	PH 797847	£1,419.93	07-Nov-13	12-Nov-13	y
WT 13-14 025	Professor Sarah Lummis	Biochemistry	Elsevier	Neuropharmacology	Agonists and antagonists induce different palonosetron dissociation rates in 5-HT3A and 5-HT3AB receptors	PH 797845	£1,735.47	07-Nov-13	12-Nov-13	y
WT 13-14 026	Dr Romola Davenport	Geography	Public Library of Science	PLoS One	Year of birth effects in the historical decline of tuberculosis mortality: a reconsideration	LC 799287	£1,001.76	11-Nov-13	19-Nov-13	y
WT 13-14 027	Dr Colin Crump	Pathology	American Society for Microbiology	Journal of Virology	Herpes simplex virus 1 counteracts tetherin restriction via its virion host shutoff activity	PK 797696	£1,485.06	11-Nov-13	11-Nov-13	y
WT 13-14 028	Dr Juan Ventura	Stem Cell Institute	Public Library of Science	PLoS One	p38a negatively regulates survival and malignant selection of transformed bronchioalveolar stem cell	PS 798139	£1,009.28	12-Nov-13	15-Nov-13	y
WT 13-14 029	Professor Krishna Chatterjee	Medicine	Elsevier	Best Practice and Research in Endocrinology and Metabolism	Pitfalls in the measurement and interpretation of thyroid function tests	RC 805640	£945.90	13-Nov-13	17-Jan-14	y
WT 13-14 030	Professor Ian Goodfellow	Pathology	Journal of Visualized Experiments	Journal of Visualized Experiments	Identification of protein interaction partners in mammalian cells using silac-immunoprecipitation quantitative proteomics	PK 799786	£1,345.72	14-Nov-13	28-Nov-13	y
WT 13-14 031	Professor Ian Goodfellow	Pathology	Public Library of Science	PLoS One	Serological evidence for multiple strains of canine norovirus in the UK dog population	PK 798865	£1,009.28	14-Nov-13	19-Nov-13	y
WT 13-14 032	Professor Ian Goodfellow	Pathology	Future Medicine	Future Microbiology	Progress towards the prevention and treatment of norovirus infections	PK 798685	£2,040.00	15-Nov-13	19-Nov-13	y
WT 13-14 033	Professor Ashley Moffett	Pathology	Elsevier	American Journal of Obstetrics and Gynecology	Pregnancy, parturition and pre-eclampsia in women of African ancestry	PK 798130	£2,335.30	15-Nov-13	15-Nov-13	y
WT 13-14 034	Dr Nancy Standart	Biochemistry	Oxford University Press	Nucleic Acids Research	Human 4E-T represses translation of bound mRNAs and enhances silencing of microRNA-target mRNAs	PH 812150	£255.60	13-Nov-13	06-Mar-14	y
WT 13-14 035	Dr Salim Al-Gailani	History and Philosophy of Science	Elsevier	Studies in History and Philosophy of Science Part C: Studies in History and Philosophy of Biological and Biomedical Sciences	Making birth defects 'preventable': pre-conceptional vitamin supplements and the politics of risk reduction	JN 821579	£836.78	18-Nov-13	09-May-14	y
WT 13-14 036	Dr Raymundo Baez Mendoza	Physiology, Development and Neuroscience	Frontiers	Frontiers in Neuroscience	The role of the striatum in social behaviour	PM 806705	£959.19	19-Nov-13	27-Jan-14	y
WT 13-14 037	Dr Julie Ahringer	Genetics	Cold Spring Harbor Laboratory Press	Genome Research	The landscape of RNA polymerase II transcription initiation in C. elegans reveals promotor and enhancer architectures	PR 799183	£1,534.32	22-Nov-13	22-Nov-13	y
WT 13-14 038	Dr Gavin Koh	Medicine	Public Library of Science	PLoS Neglected Tropical Diseases	Glyburide reduces bacterial dissemination in a mouse model of melioidosis	RC 801262	£1,679.21	22-Nov-13	09-Dec-13	y
WT 13-14 039	Professor Christine Holt	Physiology, Development and Neuroscience	Elsevier	Neuron	The central dogma decentralized: new perspectives on RNA function and local translation in neurons	PM 806703	£3,803.90	22-Nov-13	27-Jan-14	y
WT 13-14 040	Dr Filip Konopacki	Physiology, Development and Neuroscience	Society for Neurscience	Journal of Neuroscience	Rab5 and Rab4 regulate axon elongation in the Xenopus visual system	PM 800692	£2,362.70	26-Nov-13	04-Dec-13	y
WT 13-14 043	Professor Graham Burton	Physiology, Development and Neuroscience	Elsevier	Placenta	Influence of speed of sample processing on placental energetics and signalling pathways: implications for tissue collection	PM 812784	£2,183.22	02-Dec-13	06-Mar-14	y
WT 13-14 044	Dr Edward Emery	Cambridge Institute for Medical Research	Elsevier	Current Opinion in Pharmacology	Molecular mechanisms of incretin hormone secretion	SG 800197	£2,941.57	04-Dec-13	09-Dec-13	y
